Data Element ID,Data element,DatasetID ,Date created ,Date updated ,Synonyms ,Translation of data element ,Descripton  ,Data element type ,Field property/data type for value,Field size ,Value selection/capture method ,Values/Codes for Values ,Value source 
,ABO Rh,"Pharmacy,NOR",May-13,,,,Describes ABO blood group and Rh factor of a patient,,,,,,NOR
,Abortion,"Obstetric,Neonatology",,,,,Number of pregnancies that were lost for any reason including induced abortions or miscarriages at gestation less than 22 weeks or less than 500 grams,,,2 characters,,,NOR
,Abruptio Placenta,NOR,May-13,,,,Premature separation of placenta before the expulsion of the fetus,,,,,,NOR
,Access Site Occlusion,Cardiology,May-13,,,,Indicate whether an access site occlusion occurred at the site of percutaneous entry during the procedure or after the lab visit but before any subsequent lab visits. This is defined as total obstruct on of the artery usually by thrombus (but may have other causes)usually at the site of access requiring surgical repair. Occlusions maybe accompanied by absence of palpable pulse or Doppler,,Alphanumeric,3 characters,Select from a shortlist,"01=Yes,02=No",NCVD-PCI
,ACE Inhibitor,Cardiology,May-13,,,,Indicate if the ACE Inhibitor is given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01=Yes,02=No",NCVD-ACS NCVD-PCI
,ACE Inhibitor Given at Discharge,Cardiology,May-13,,,,ACE inhibitor administered at discharge?,,Alphanumeric,3 characters,Select from a shortlist,"01=Yes,02=No",NCVD-ACS
,ACE Inhibitor Given during Admission,Cardiology,May-13,,,,ACE inhibitor administered during admission?,,Alphanumeric,3 characters,Select from a shortlist,"01=Yes,02=No",NCVD-ACS
,ActIvity Administered MBq,"Nuclear Medicine,Transplant",Sep-12,,,,Quantity of radiopharmaceutical administered in unit mega Becquerel,,Numeric,5 characters,,,
,ActIvity Administered mCi,Nuclear Medicine,Sep-12,,,,Quantity of radiopharmaceutical administered in unit mill curie,,Numeric,3 characters,,,
,Acute Coronary Syndrome,Cardiology,May-13,,,,"Indicate if the patient is suffering from an Acute Coronary Syndrome Event. ACS encompasses clinical features comprising chest pain or overwhelming shortness of breath,defined by accompanying clinical,ECG and biochemical features.",,Alphanumeric,3 characters,Select from a shortlist,"01=Yes,02=No",NCVD-PCI
,Acute Management,Neurology,May-13,,,,"Acute management would include all acute surgical intervention pertaining to stroke,thrombolytic treatment and intubation",,Alphanumeric,3 characters,Select from a shortlist,"01=Yes,02=No",
,Acute Management Given Thrombolysis,Neurology,May-13,,,,Patient given treatment of recombinant tissue plasminogen actvator(rt-PA),,Alphanumeric,3 characters,Select from a shortlist,"01=Yes,02=No",
,Acute Radiation Morbidity Scoring,Radiotherapy & Oncology,May-13,,Radiation side effect scoring,Skor morbiditi radiasi akut,Scoring system to grade acute morbidity post radiotherapy treatment,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
rtog_grade_cns,Acute Radiation Morbidity Scoring - CNS,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for CNS,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade -CNS,
