Data Element ID,Data Element,Lookup Table,Code,Description,Terjemahan
adherence_status,Adherence Treatment,Adherence Treatment (Adherence Status),1,Poor,
adherence_status,Adherence Treatment,Adherence Treatment (Adherence Status),2,Partial,
adherence_status,Adherence Treatment,Adherence Treatment (Adherence Status),3,Good,
administration_route,Administration Route,Administration Route,BATH,Bath,Ubat mandi
administration_route,Administration Route,Administration Route,BUCC,Buccal,Buccal
administration_route,Administration Route,Administration Route,DABS,Dabs,Sapu
administration_route,Administration Route,Administration Route,EARB,Ear Both,Telinga kanan & kiri
administration_route,Administration Route,Administration Route,EARL,Ear Left,Telinga kiri
administration_route,Administration Route,Administration Route,EARR,Ear Right,Telinga kanan
administration_route,Administration Route,Administration Route,EPID,Epidural,Epidural
administration_route,Administration Route,Administration Route,ETIN,ET Intubation,ET Intubation
administration_route,Administration Route,Administration Route,EXT,External,Luaran
administration_route,Administration Route,Administration Route,EYEB,Eye Both,Mata kanan & kiri
administration_route,Administration Route,Administration Route,EYEL,Eye Left,Mata kiri
administration_route,Administration Route,Administration Route,EYER,Eye Right,Mata kanan
administration_route,Administration Route,Administration Route,IM,Intramuscular,Intramuscular
administration_route,Administration Route,Administration Route,IMPL,Implantation,Implant
administration_route,Administration Route,Administration Route,INAB,Intraabdominal,Intraabdominal
administration_route,Administration Route,Administration Route,INAM,Intraamniotic,Intraamniotic
administration_route,Administration Route,Administration Route,INAR,Intraarterial,Intraarterial
administration_route,Administration Route,Administration Route,INAT,Intraarticular,Intraartikular
administration_route,Administration Route,Administration Route,INCA,Intracardiac,Intrakardiak
administration_route,Administration Route,Administration Route,INCE,Intracervical,Intraservikal
administration_route,Administration Route,Administration Route,INCT,Intracavity,Intrakaviti
administration_route,Administration Route,Administration Route,INCV,Intracavernosal,Intrakavernosal
administration_route,Administration Route,Administration Route,INDE,Intradermal,Intradermal
administration_route,Administration Route,Administration Route,INF,Intravenous Infusion,Infusi intravenus
administration_route,Administration Route,Administration Route,INFI,Infiltration,Infiltrasi
administration_route,Administration Route,Administration Route,INH,Inhalation,Sedut
administration_route,Administration Route,Administration Route,INLE,Intralesion,Intralesion
administration_route,Administration Route,Administration Route,INOC,Intraocular,Intraokular
administration_route,Administration Route,Administration Route,INOS,Intraosseous,Intraosseous
administration_route,Administration Route,Administration Route,INSY,Intrasynovial,Not applicable for OP
administration_route,Administration Route,Administration Route,INTC,Intratracheal,Intratrakeal
administration_route,Administration Route,Administration Route,INTE,Intrathecal,Intrathekal
administration_route,Administration Route,Administration Route,INTM,Intratumour,Intratumor
administration_route,Administration Route,Administration Route,INTO,Intrathoracic,Intratorasik
administration_route,Administration Route,Administration Route,INUR,Intraurethral,Intrauretral
administration_route,Administration Route,Administration Route,INUT,Intrauterine,Intrauterin
administration_route,Administration Route,Administration Route,INVC,Intravesical,Intravesikal
administration_route,Administration Route,Administration Route,INVG,Intravaginal,Intravaginal
administration_route,Administration Route,Administration Route,INVT,Intravitreal,Intravitral
administration_route,Administration Route,Administration Route,IP,Intraperitoneal,Not applicable for OP
administration_route,Administration Route,Administration Route,IRRI,Irrigation,Irrigasi
administration_route,Administration Route,Administration Route,IV,Intravenous,Intravenus
administration_route,Administration Route,Administration Route,IVB,Intravenous Bolus,Bolus intravenus
