facility_code,facility_name,facility_shortname,address_1,address_2,district,state,postcode,sector,type,latitude,longitude
91-16990001,KEMENTERIAN KESIHATAN MALAYSIA,KKM,BLOK E7 KOMPLEKS PENTADBIRAN KERAJAAN,PRECINT 1,PUTRAJAYA,WILAYAH PERSEKUTUAN PUTRAJAYA,62590,GOVERNMENT,MINISTRY OF HEALTH,2.926361,101.696445
11-01010011,HOSPITAL SULTANAH NORA ISMAIL,,"JALAN KORMA, TAMAN SOGA",,BATU PAHAT,JOHOR,83000,GOVERNMENT,HOSPITAL,1.836339,102.939944
21-01010246,KLINIK DESA PARIT BASRI,KDPRBS,"KG. PARIT BASRI SRI MEDAN, MUKIM 18 SRI MEDAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,2.01683,102.95778
21-01010372,KLINIK DESA TANJUNG SEMBERONG,KDTSMB,"KG. TANJUNG SEMBRONG, MUKIM 8 SRI GADING",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.84611,102.94493
21-01010249,KLINIK DESA PARIT BILAL,KDPBL,"KG PARIT BILAL, MUKIM 6 LINAU",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.88937,102.94855
21-01010349,KLINIK DESA SUNGAI AYAM,KDSAY,"KG SG. AYAM, MUKIM 9 SIMPANG KANAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.78632,102.93634
21-01010267,KLINIK DESA PARIT KASIH,KDPKS,"KAMPUNG PARIT KASIH, MUKIM 8 SRI GADING",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.79888,103.03472
21-01010132,KLINIK DESA ASSAM BUBOK,KDABBK,"KAMPONG ASAM BUBOK, MUKIM TANJUNG SEMBRONG",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.93333,103.11667
21-01010359,KLINIK DESA PARIT NIBONG,KDPNB,"KG PARIT NIBONG, MUKIM 1 SEMERAH",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.919151,102.799769
21-01010142,KLINIK DESA BINDU,KDBIND,"KG. BINDU TONGKANG PECAH, MUKIM 6 LINAU",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.901515,102.966464
21-01010265,KLINIK DESA PARIT KADER,KDPKDR,"KG PARIT KADER, MUKIM 8 SRI GADING",,BATU PAHAT,JOHOR,83200,GOVERNMENT,KLINIK DESA,1.77968,103.1065
21-01010274,KLINIK DESA PARIT MAIMON,KDPMM,"KG PARIT MAIMUN, MUKIM 4 SIMPANG KIRI",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.94028,102.85224
21-01010366,KLINIK DESA TALANG BUNUT,KDTBN,"KAMPONG TALAM BUNUT, MUKIM 7 TANJUNG SEMBRONG, 86400 MUKIM 7 TANJUNG SEMBRONG",,BATU PAHAT,JOHOR,86400,GOVERNMENT,KLINIK DESA,1.90366,103.12825
